log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8,256,45,98,971,1114
8,256,30,77,567,674
8,256,24,71,518,613
8,256,21,70,450,541
8,256,19,64,452,535
8,256,18,63,446,527
8,256,18,61,450,529
8,256,18,59,448,525
8,256,18,62,441,521
8,256,18,61,447,526
9,512,64,195,1011,1270
9,512,103,210,895,1208
9,512,51,153,896,1100
9,512,50,153,893,1096
9,512,48,154,886,1088
9,512,47,151,896,1094
9,512,47,153,891,1091
9,512,48,152,891,1091
9,512,49,190,974,1213
9,512,56,195,985,1236
10,1024,510,526,1724,2760
10,1024,108,510,1784,2402
10,1024,109,401,1703,2213
10,1024,104,387,1829,2320
10,1024,111,404,1700,2215
10,1024,106,389,1869,2364
10,1024,108,402,1704,2214
10,1024,105,388,1946,2439
10,1024,122,471,1780,2373
10,1024,105,401,1707,2213
11,2048,234,1284,3806,5324
11,2048,390,1057,3425,4872
11,2048,336,1074,3647,5057
11,2048,287,1021,3423,4731
11,2048,264,1188,3593,5045
11,2048,292,1088,3560,4940
11,2048,275,1010,3559,4844
11,2048,280,1011,3639,4930
11,2048,271,1005,3730,5006
11,2048,288,1031,3440,4759
12,4096,581,3420,7253,11254
12,4096,640,2737,7230,10607
12,4096,637,3039,7085,10761
12,4096,797,2834,7415,11046
12,4096,636,2630,7392,10658
12,4096,629,2924,7176,10729
12,4096,723,2770,7608,11101
12,4096,631,2623,7380,10634
12,4096,735,2781,7243,10759
12,4096,689,2708,7396,10793
13,8192,1254,7661,14131,23046
13,8192,1389,6641,14375,22405
13,8192,1269,7012,14147,22428
13,8192,1277,6917,14411,22605
13,8192,1380,6685,14166,22231
13,8192,1379,6801,14139,22319
13,8192,1385,6833,14263,22481
13,8192,1271,6897,14163,22331
13,8192,1279,7206,15098,23583
13,8192,1271,7203,14044,22518
14,16384,3518,17967,28360,49845
14,16384,2665,16617,46482,65764
14,16384,2486,36575,58534,97595
14,16384,2487,36904,58387,97778
14,16384,2492,36985,48226,87703
14,16384,12600,26679,58488,97767
14,16384,2671,36760,34225,73656
14,16384,2754,16682,28294,47730
14,16384,2770,16632,28407,47809
14,16384,2676,16736,28262,47674
15,32768,6979,50906,57382,115267
15,32768,5172,48189,57653,111014
15,32768,5542,47988,57256,110786
15,32768,5367,48126,57397,110890
15,32768,5385,48124,57548,111057
15,32768,5386,48158,57211,110755
15,32768,5310,48195,57760,111265
15,32768,5232,48403,57334,110969
15,32768,5322,48268,57751,111341
15,32768,5202,48280,57606,111088
16,65536,13685,100893,113397,227975
16,65536,10620,94941,112715,218276
16,65536,12523,95444,113344,221311
16,65536,10635,95325,112947,218907
16,65536,10611,113447,113184,237242
16,65536,10931,94911,112961,218803
16,65536,10722,96831,113131,220684
16,65536,10615,95806,178401,284822
16,65536,20706,195069,171092,386867
16,65536,10612,95622,114234,220468
17,131072,27625,220783,226735,475143
17,131072,21849,211769,226353,459971
17,131072,21750,398085,558929,978764
17,131072,47519,298182,294218,639919
17,131072,21434,279532,345345,646311
17,131072,47169,304150,320620,671939
17,131072,26887,511638,305392,843917
17,131072,22696,209507,273126,505329
17,131072,30376,420254,267866,718496
17,131072,21534,231481,440295,693310
18,262144,54794,472520,477891,1005205
18,262144,43410,448320,757508,1249238
18,262144,82695,599904,458487,1141086
18,262144,43230,448798,475027,967055
18,262144,43597,465432,949664,1458693
18,262144,42982,447562,459314,949858
18,262144,42981,447226,476460,966667
18,262144,43575,447908,690433,1181916
18,262144,43477,447048,458543,949068
18,262144,43308,447904,474629,965841
19,524288,109465,1143231,900703,2153399
19,524288,86239,896470,1132540,2115249
19,524288,88622,1120878,1253426,2462926
19,524288,86563,1049475,1033175,2169213
19,524288,86760,1162126,898047,2146933
19,524288,88489,891980,1134593,2115062
19,524288,87162,872333,916651,1876146
19,524288,86612,1330107,898398,2315117
19,524288,86528,1008456,1320349,2415333
19,524288,86442,1153059,920116,2159617
20,1048576,390298,2310497,2879662,5580457
20,1048576,174205,2259601,2078760,4512566
20,1048576,174062,1948243,1997006,4119311
20,1048576,181933,2355639,2036212,4573784
20,1048576,174464,1912052,2017853,4104369
20,1048576,173498,2375959,1840280,4389737
20,1048576,173917,2806196,2085987,5066100
20,1048576,173630,2381555,2513520,5068705
20,1048576,173570,2200787,1787749,4162106
20,1048576,191341,2130091,2178217,4499649
21,2097152,478187,5153549,3920890,9552626
21,2097152,347797,4885167,4655153,9888117
21,2097152,577194,5080284,4321006,9978484
21,2097152,346393,4587560,4056559,8990512
21,2097152,345952,4569433,4036812,8952197
21,2097152,596287,5573559,4128241,10298087
21,2097152,346420,4325436,4204710,8876566
21,2097152,446109,4329939,4200692,8976740
21,2097152,364518,4554657,4663212,9582387
21,2097152,557688,4839404,4253219,9650311
22,4194304,1117917,10593487,8277108,19988512
22,4194304,930917,11088864,7872265,19892046
22,4194304,695960,10450143,9077933,20224036
22,4194304,695232,10387187,8095316,19177735
22,4194304,695098,11672473,8250088,20617659
22,4194304,718919,10225216,9041220,19985355
22,4194304,716170,10479337,8513691,19709198
22,4194304,712984,11052760,8820393,20586137
22,4194304,712749,10628700,7973361,19314810
22,4194304,944606,11259214,8337823,20541643
REL_RMS_ERR for log2_N:8
2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,2.5929834631e-16,
REL_RMS_ERR for log2_N:9
