log2_N,Init_T,FFT_T,RMS_T,Total_T
8,8412,74592,56274,139278
8,6856,72151,55748,134755
8,6817,71856,55916,134589
8,6733,72748,66157,145638
8,15028,71897,56293,143218
8,6829,72244,55960,135033
8,6885,133280,111037,251202
8,16747,143147,91283,251177
8,6828,71859,55826,134513
8,6925,71855,56018,134798
9,33578,369032,224476,627086
9,27863,359177,224509,611549
9,27741,363128,223830,614699
9,28725,379123,255742,663590
9,28096,361044,224145,613285
9,27847,360185,223384,611416
9,28034,370040,299772,697846
9,52637,485578,224129,762344
9,27914,360121,224471,612506
9,27843,359327,223758,610928
10,136091,1618775,898694,2653560
10,111676,1575249,897712,2584637
10,112240,1577717,895068,2585025
10,111951,1808813,896686,2817450
10,112981,1583163,900823,2596967
10,113847,1793033,1296132,3203012
10,112724,1867679,1134917,3115320
10,130005,1830247,916177,2876429
10,111739,1820276,944286,2876301
10,113497,1581089,895875,2590461
11,538573,7293324,3592680,11424577
11,598079,7198953,4409129,12206161
11,448011,7174149,3811961,11434121
11,448329,7195187,3828071,11471587
11,448691,7941813,3943493,12333997
11,717529,7119944,3587398,11424871
11,449415,7100996,4173688,11724099
11,449952,7671758,3596193,11717903
11,453300,7402789,3589405,11445494
11,449771,7684806,4311016,12445593
REL_RMS_ERR for log2_N:8
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:9
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:10
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,
REL_RMS_ERR for log2_N:11
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,

